Mission_ID,Mission_Name,Agency,Country_Region,Agency_Type,Program_Type,Mission_Category,Sub_Category,Launch_Date,End_Date,Duration,Launch_Vehicle,Launch_Site,Status,Mission_Phase,Crew_Type,Crew_Members,Destination,Objective,Key_Achievement,Cost_USD_Million,Partner_Agencies,Data_Returned,Failure_Reason,Mission_Outcome_Detail,Reference_URL
JA-00820,JAXA Mission 820,JAXA,Japan,Government,Sounding Rocket,Sun/Solar,Solar Observer,2029-04-28,N/A,Ongoing,H3,Uchinoura,Upcoming,Future,Crewed,"PS2, MS2, Pilot, PS1, MS3",Sun/Solar,Heliosphere boundary exploration,Planned - objectives to be confirmed post-launch,2464.0,ESA,N/A,N/A,Demonstrated reusable rocket landing,https://www.jaxa.jp/missions/jaxa-mission-820
SP-00821,Falcon 1 Flight 1,SpaceX,USA,Private,Commercial,Earth Observation,Agriculture,1964-08-15,1973-06-08,8.8 years,Falcon Heavy,Vandenberg SFB,Success,Past,Uncrewed,N/A,Earth Observation,Reusable launch vehicle technology demonstration,Detected water ice at target location,6310.7,None,Partial,N/A,Broke distance record for agency,https://www.spacex.com/missions/falcon-1-flight-1
SP-00822,Falcon 1 Flight 2,SpaceX,USA,Private,Human Spaceflight,Sun/Solar,Parker-type,1984-07-06,1989-06-09,4.9 years,Falcon Heavy,Boca Chica (Starbase),Failed,Past,Uncrewed,N/A,Sun/Solar,Space debris monitoring and removal,Power system failure in transit,13770.9,NASA,Partial,Power system failure in transit,Demonstrated reusable rocket landing,https://www.spacex.com/missions/falcon-1-flight-2
SP-00823,Falcon 1 Flight 3,SpaceX,USA,Private,Technology Demo,Venus,Atmospheric Probe,1985-11-27,1989-05-04,3.4 years,Falcon 9,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Venus,Mars sample return mission support,Mission ongoing - data collection in progress,5612.3,NASA,Yes,N/A,Landed successfully within target zone,https://www.spacex.com/missions/falcon-1-flight-3
SP-00824,Falcon 1 Flight 4,SpaceX,USA,Private,Commercial,SmallSat,Science,1958-03-05,N/A,Ongoing,Falcon 9,Vandenberg SFB,Ongoing,Past,Crewed,"MS3, PS1, MS1, PS2, MS2, Commander, Pilot",SmallSat,Black hole imaging and stellar cataloguing,Planned - objectives to be confirmed post-launch,4904.5,None,Yes,N/A,First crewed landing at destination,https://www.spacex.com/missions/falcon-1-flight-4
SP-00825,Falcon 1 Flight 5,SpaceX,USA,Private,Telescope,Jupiter,Orbiter,1989-01-14,2003-05-13,14.3 years,Falcon Heavy,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Jupiter,Lunar surface exploration and soil sample collection,Failed to achieve orbit due to launch vehicle anomaly,5428.8,None,Yes,N/A,First images returned from target destination,https://www.spacex.com/missions/falcon-1-flight-5
SP-00826,Falcon 9 Flight 1,SpaceX,USA,Private,Technology Demo,SmallSat,IoT Connectivity,2002-11-01,2017-06-22,14.6 years,Starship,Cape Canaveral,Partial Success,Past,Uncrewed,N/A,SmallSat,Mars atmospheric study and habitability assessment,Achieved supersonic retropropulsion,5277.4,None,No,Reduced data return,Achieved supersonic retropropulsion,https://www.spacex.com/missions/falcon-9-flight-1
SP-00827,Falcon 9 COTS Demo 1,SpaceX,USA,Private,Satellite,Asteroid,Deflector,1962-08-27,1966-03-26,3.6 years,Falcon 9,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Asteroid,Space debris monitoring and removal,Deployed constellation of satellites,5830.6,NASA,Yes,N/A,Achieved orbit insertion on first attempt,https://www.spacex.com/missions/falcon-9-cots-demo-1
SP-00828,Falcon 9 COTS Demo 2,SpaceX,USA,Private,Technology Demo,Communication Satellite,Broadband,1958-01-31,1963-09-23,5.6 years,Starship,Vandenberg SFB,Success,Past,Uncrewed,N/A,Communication Satellite,Lunar surface exploration and soil sample collection,Achieved orbit insertion on first attempt,3427.1,NASA,Yes,N/A,Demonstrated reusable rocket landing,https://www.spacex.com/missions/falcon-9-cots-demo-2
SP-00829,CRS-1,SpaceX,USA,Private,Commercial,SmallSat,IoT Connectivity,1970-03-16,1984-02-02,13.9 years,Falcon Heavy,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,SmallSat,Commercial crew certification flight,Confirmed presence of subsurface water,3379.9,None,No,N/A,Landed successfully within target zone,https://www.spacex.com/missions/crs-1
SP-00830,CRS-2,SpaceX,USA,Private,Human Spaceflight,CubeSat,16U CubeSat,2018-04-21,N/A,Ongoing,Falcon 9,Cape Canaveral,Ongoing,Past,Uncrewed,N/A,CubeSat,Next-generation communication satellite deployment,Detected water ice at target location,819.1,NASA,Partial,N/A,Exceeded planned science return by 3x,https://www.spacex.com/missions/crs-2
SP-00831,CRS-3,SpaceX,USA,Private,Human Spaceflight,Mars,Orbiter,2014-01-08,2014-04-27,109 days,Falcon Heavy,Vandenberg SFB,Partial Success,Past,Crewed,"PS2, PS1, Pilot",Mars,Lunar surface exploration and soil sample collection,Landed successfully within target zone,4162.7,None,No,Secondary objective not met,Landed successfully within target zone,https://www.spacex.com/missions/crs-3
SP-00832,CRS-4,SpaceX,USA,Private,Human Spaceflight,Mars,Orbiter,1968-08-02,N/A,Ongoing,Falcon Heavy,Boca Chica (Starbase),Ongoing,Past,Uncrewed,N/A,Mars,Technology demonstration for future deep space missions,Deployed constellation of satellites,10297.7,None,Partial,N/A,Landed successfully within target zone,https://www.spacex.com/missions/crs-4
SP-00833,CRS-5,SpaceX,USA,Private,Satellite,Jupiter,Flyby,1972-05-23,1983-02-15,10.7 years,Falcon 1,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Jupiter,Earth observation for disaster management,Detected organic molecules at surface,7399.5,None,No,N/A,Broke distance record for agency,https://www.spacex.com/missions/crs-5
SP-00834,CRS-6,SpaceX,USA,Private,Commercial,Earth Orbit,LEO,2013-12-03,N/A,Ongoing,Falcon 1,Cape Canaveral,Ongoing,Past,Uncrewed,N/A,Earth Orbit,Neptune and Uranus atmospheric study flyby,Successfully deployed all planned instruments,5561.0,None,Partial,N/A,Deployed constellation of satellites,https://www.spacex.com/missions/crs-6
SP-00835,CRS-7,SpaceX,USA,Private,Robotic,Mars,Orbiter,2019-09-03,2021-07-10,1.9 years,Falcon 1,Vandenberg SFB,Success,Past,Crewed,"PS1, Commander, MS1, MS2, PS2, MS3, Pilot",Mars,Solar wind and coronal mass ejection monitoring,Discovered new geological features,8753.2,NASA,No,N/A,Partial success - secondary objectives met,https://www.spacex.com/missions/crs-7
SP-00836,CRS-8,SpaceX,USA,Private,Satellite,CubeSat,16U CubeSat,2000-08-10,2008-03-03,7.6 years,Falcon Heavy,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,CubeSat,Human lunar landing mission support,Achieved orbit insertion on first attempt,6906.0,None,Yes,N/A,Detected water ice at target location,https://www.spacex.com/missions/crs-8
SP-00837,CRS-9,SpaceX,USA,Private,Commercial,Jupiter,Probe,1973-04-25,1987-05-13,14.1 years,Falcon 1,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Jupiter,Deep space gravitational wave detection,Successfully tested new propulsion system,7027.1,NASA,No,N/A,Extended mission beyond original timeline,https://www.spacex.com/missions/crs-9
SP-00838,CRS-10,SpaceX,USA,Private,Satellite,SmallSat,IoT Connectivity,2002-09-29,2005-05-26,2.7 years,Falcon Heavy,Vandenberg SFB,Success,Past,Uncrewed,N/A,SmallSat,Heliosphere boundary exploration,Demonstrated reusable rocket landing,5093.3,NASA,Yes,N/A,Broke distance record for agency,https://www.spacex.com/missions/crs-10
SP-00839,CRS-11,SpaceX,USA,Private,Sounding Rocket,Moon,Flyby,2016-12-30,2021-12-10,4.9 years,Falcon 9,Vandenberg SFB,Failed,Past,Crewed,"MS2, Commander, PS1, PS2, MS3",Moon,Human lunar landing mission support,Power system failure in transit,12358.0,None,Partial,Power system failure in transit,Extended mission beyond original timeline,https://www.spacex.com/missions/crs-11
SP-00840,CRS-12,SpaceX,USA,Private,Human Spaceflight,Jupiter,Flyby,1987-12-27,1992-10-18,4.8 years,Falcon 1,Vandenberg SFB,Success,Past,Crewed,"MS2, MS3, PS1, Commander",Jupiter,Lunar surface exploration and soil sample collection,Deployed constellation of satellites,6834.6,None,Partial,N/A,Partial success - secondary objectives met,https://www.spacex.com/missions/crs-12
SP-00841,CRS-13,SpaceX,USA,Private,Human Spaceflight,SmallSat,IoT Connectivity,2019-12-05,2020-12-14,1.0 years,Falcon Heavy,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,SmallSat,Reusable launch vehicle technology demonstration,Historic first for agency and country,14715.2,NASA,Yes,N/A,Captured highest resolution images to date,https://www.spacex.com/missions/crs-13
SP-00842,CRS-14,SpaceX,USA,Private,Telescope,Crewed Spaceflight,LEO Mission,1995-03-24,2002-11-18,7.7 years,Falcon Heavy,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Crewed Spaceflight,Deep space gravitational wave detection,First crewed landing at destination,3876.1,None,Partial,N/A,Extended mission beyond original timeline,https://www.spacex.com/missions/crs-14
SP-00843,CRS-15,SpaceX,USA,Private,Robotic,Sun/Solar,Solar Observer,2016-08-28,2023-03-26,6.6 years,Falcon Heavy,Cape Canaveral,Success,Past,Uncrewed,N/A,Sun/Solar,Neptune and Uranus atmospheric study flyby,Deployed constellation of satellites,6951.6,None,Partial,N/A,Demonstrated reusable rocket landing,https://www.spacex.com/missions/crs-15
SP-00844,CRS-16,SpaceX,USA,Private,Commercial,Sounding Rocket,Ionosphere Study,2014-03-05,2017-12-01,3.7 years,Falcon 9,Cape Canaveral,Success,Past,Uncrewed,N/A,Sounding Rocket,Asteroid composition and deflection study,Captured highest resolution images to date,1086.9,NASA,No,N/A,Landed successfully within target zone,https://www.spacex.com/missions/crs-16
SP-00845,CRS-17,SpaceX,USA,Private,Robotic,CubeSat,12U CubeSat,2018-04-08,2022-04-09,4.0 years,Starship,Vandenberg SFB,Failed,Past,Uncrewed,N/A,CubeSat,Technology demonstration for future deep space missions,N/A,13674.8,NASA,Yes,N/A,Historic first for agency and country,https://www.spacex.com/missions/crs-17
SP-00846,CRS-18,SpaceX,USA,Private,Satellite,Communication Satellite,Military,1999-05-31,2008-07-24,9.2 years,Falcon 1,Vandenberg SFB,Success,Past,Uncrewed,N/A,Communication Satellite,Space debris monitoring and removal,Mission ongoing - data collection in progress,14865.3,None,Partial,N/A,Deployed constellation of satellites,https://www.spacex.com/missions/crs-18
SP-00847,CRS-19,SpaceX,USA,Private,Technology Demo,Crewed Spaceflight,Moon Mission,1969-08-11,1973-04-11,3.7 years,Falcon Heavy,Vandenberg SFB,Partial Success,Past,Uncrewed,N/A,Crewed Spaceflight,Asteroid composition and deflection study,Achieved supersonic retropropulsion,13624.6,NASA,No,Secondary objective not met,Extended mission beyond original timeline,https://www.spacex.com/missions/crs-19
SP-00848,CRS-20,SpaceX,USA,Private,Technology Demo,Crewed Spaceflight,Test Flight,1986-12-05,N/A,Ongoing,Falcon 9,Boca Chica (Starbase),Ongoing,Past,Uncrewed,N/A,Crewed Spaceflight,Deep space gravitational wave detection,Successfully tested new propulsion system,11762.8,None,Partial,N/A,Achieved orbit insertion on first attempt,https://www.spacex.com/missions/crs-20
SP-00849,CRS-21,SpaceX,USA,Private,Commercial,Asteroid,Flyby,1972-04-01,1973-01-19,293 days,Falcon Heavy,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Asteroid,Reusable launch vehicle technology demonstration,First crewed landing at destination,9306.7,NASA,No,N/A,Extended mission beyond original timeline,https://www.spacex.com/missions/crs-21
SP-00850,CRS-22,SpaceX,USA,Private,Commercial,SmallSat,IoT Connectivity,1974-09-04,1979-06-04,4.8 years,Starship,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,SmallSat,Venus atmospheric chemistry and surface mapping,Mission ongoing - data collection in progress,9820.6,NASA,Yes,N/A,First crewed landing at destination,https://www.spacex.com/missions/crs-22
SP-00851,CRS-23,SpaceX,USA,Private,Sounding Rocket,CubeSat,6U CubeSat,1989-07-30,N/A,Ongoing,Starship,Boca Chica (Starbase),Ongoing,Past,Uncrewed,N/A,CubeSat,Lunar surface exploration and soil sample collection,Extended mission beyond original timeline,184.3,NASA,Yes,N/A,Detected water ice at target location,https://www.spacex.com/missions/crs-23
SP-00852,CRS-24,SpaceX,USA,Private,Technology Demo,CubeSat,3U CubeSat,2013-02-15,2013-01-04,N/A,Falcon 1,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,CubeSat,Neptune and Uranus atmospheric study flyby,First crewed landing at destination,9500.1,None,Partial,N/A,First crewed landing at destination,https://www.spacex.com/missions/crs-24
SP-00853,CRS-25,SpaceX,USA,Private,Technology Demo,Venus,Orbiter,1988-09-30,1995-03-22,6.5 years,Starship,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Venus,Orbital mechanics experiment for future missions,Deployed constellation of satellites,12173.9,NASA,No,N/A,Achieved orbit insertion on first attempt,https://www.spacex.com/missions/crs-25
SP-00854,CRS-26,SpaceX,USA,Private,Technology Demo,CubeSat,6U CubeSat,1968-07-04,1968-11-25,144 days,Starship,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,CubeSat,Earth observation for disaster management,Collected and returned surface samples,4730.9,NASA,Yes,N/A,Successfully tested new propulsion system,https://www.spacex.com/missions/crs-26
SP-00855,CRS-27,SpaceX,USA,Private,Satellite,Earth Observation,Agriculture,1967-02-03,1973-04-17,6.2 years,Falcon Heavy,Vandenberg SFB,Success,Past,Crewed,"MS1, Pilot, PS2, MS2, MS3",Earth Observation,Solar wind and coronal mass ejection monitoring,Captured highest resolution images to date,10617.3,None,No,N/A,Planned - objectives to be confirmed post-launch,https://www.spacex.com/missions/crs-27
SP-00856,CRS-28,SpaceX,USA,Private,Technology Demo,Jupiter,Moon Study,2002-04-08,2017-04-10,15.0 years,Falcon 1,Vandenberg SFB,Failed,Past,Uncrewed,N/A,Jupiter,Jupiter moon subsurface ocean investigation,Orbit insertion burn anomaly,12288.4,None,Yes,Orbit insertion burn anomaly,First images returned from target destination,https://www.spacex.com/missions/crs-28
SP-00857,CRS-29,SpaceX,USA,Private,Robotic,CubeSat,3U CubeSat,2006-01-23,2015-07-28,9.5 years,Falcon Heavy,Cape Canaveral,Success,Past,Uncrewed,N/A,CubeSat,Venus atmospheric chemistry and surface mapping,Planned - objectives to be confirmed post-launch,6796.5,None,Yes,N/A,Discovered new geological features,https://www.spacex.com/missions/crs-29
SP-00858,CRS-30,SpaceX,USA,Private,Robotic,Telescope,X-ray,1960-08-26,N/A,Ongoing,Starship,Cape Canaveral,Ongoing,Past,Uncrewed,N/A,Telescope,Jupiter moon subsurface ocean investigation,Detected organic molecules at surface,3819.2,None,Partial,N/A,Exceeded planned science return by 3x,https://www.spacex.com/missions/crs-30
SP-00859,DM-1 Crew Dragon Demo,SpaceX,USA,Private,Robotic,Mercury,Flyby,2011-08-18,2022-10-25,11.2 years,Falcon Heavy,Cape Canaveral,Success,Past,Uncrewed,N/A,Mercury,Interplanetary navigation technology test,Landed successfully within target zone,3847.2,None,Yes,N/A,Achieved supersonic retropropulsion,https://www.spacex.com/missions/dm-1-crew-dragon-demo
SP-00860,DM-2 Crew Dragon Demo,SpaceX,USA,Private,Technology Demo,Earth Orbit,SSO,2021-09-14,2022-08-03,323 days,Falcon 9,Cape Canaveral,Success,Past,Uncrewed,N/A,Earth Orbit,Commercial crew certification flight,Landed successfully within target zone,3271.1,NASA,Partial,N/A,Communication lost after initial deployment,https://www.spacex.com/missions/dm-2-crew-dragon-demo
SP-00861,Crew-1,SpaceX,USA,Private,Human Spaceflight,Moon,Lander,1965-11-07,1974-09-10,8.8 years,Falcon Heavy,Cape Canaveral,Success,Past,Crewed,"Commander, Pilot",Moon,Neptune and Uranus atmospheric study flyby,Successfully deployed all planned instruments,5593.4,None,No,N/A,First images returned from target destination,https://www.spacex.com/missions/crew-1
SP-00862,Crew-2,SpaceX,USA,Private,Sounding Rocket,Asteroid,Rendezvous,1984-04-28,N/A,Ongoing,Falcon 9,Cape Canaveral,Ongoing,Past,Uncrewed,N/A,Asteroid,Black hole imaging and stellar cataloguing,Mission ongoing - data collection in progress,5106.7,NASA,Yes,N/A,Deployed constellation of satellites,https://www.spacex.com/missions/crew-2
SP-00863,Crew-3,SpaceX,USA,Private,Human Spaceflight,SmallSat,IoT Connectivity,1970-03-27,1978-01-19,7.8 years,Falcon 1,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,SmallSat,ISS crew rotation and life support resupply,Captured highest resolution images to date,1421.1,None,Yes,N/A,Demonstrated reusable rocket landing,https://www.spacex.com/missions/crew-3
SP-00864,Crew-4,SpaceX,USA,Private,Telescope,Technology Demo,In-Orbit Servicing,1986-11-23,1999-01-18,12.2 years,Falcon Heavy,Vandenberg SFB,Success,Past,Uncrewed,N/A,Technology Demo,Commercial crew certification flight,Extended mission beyond original timeline,547.2,NASA,No,N/A,Extended mission beyond original timeline,https://www.spacex.com/missions/crew-4
SP-00865,Crew-5,SpaceX,USA,Private,Commercial,ISS,Cargo Resupply,1999-04-29,N/A,Ongoing,Falcon 9,Vandenberg SFB,Ongoing,Past,Uncrewed,N/A,ISS,Gamma-ray burst detection and cataloguing,First images returned from target destination,13682.9,NASA,Yes,N/A,Successfully tested new propulsion system,https://www.spacex.com/missions/crew-5
SP-00866,Crew-6,SpaceX,USA,Private,Satellite,ISS,Module Delivery,1999-11-11,2012-09-09,12.8 years,Starship,Vandenberg SFB,Success,Past,Uncrewed,N/A,ISS,Mars sample return mission support,Discovered new geological features,12677.2,None,Partial,N/A,First images returned from target destination,https://www.spacex.com/missions/crew-6
SP-00867,Crew-7,SpaceX,USA,Private,Robotic,Saturn,Ring Study,1972-09-04,1987-07-07,14.8 years,Starship,Vandenberg SFB,Failed,Past,Crewed,"Pilot, Commander, MS3",Saturn,Interplanetary navigation technology test,N/A,11722.4,None,No,N/A,Successfully tested new propulsion system,https://www.spacex.com/missions/crew-7
SP-00868,Crew-8,SpaceX,USA,Private,Satellite,Telescope,Gamma Ray,2008-05-29,2018-02-03,9.7 years,Starship,Boca Chica (Starbase),Partial Success,Past,Uncrewed,N/A,Telescope,Asteroid composition and deflection study,Failed to achieve orbit due to launch vehicle anomaly,10661.4,None,No,Partial instrument failure,Communication lost after initial deployment,https://www.spacex.com/missions/crew-8
SP-00869,Crew-9,SpaceX,USA,Private,Robotic,Communication Satellite,LEO Constellation,1980-05-13,1983-06-14,3.1 years,Falcon 1,Boca Chica (Starbase),Failed,Past,Uncrewed,N/A,Communication Satellite,Jupiter moon subsurface ocean investigation,Fuel leak detected pre-launch - scrubbed,2570.6,NASA,Yes,Fuel leak detected pre-launch - scrubbed,Achieved supersonic retropropulsion,https://www.spacex.com/missions/crew-9
SP-00870,Crew-10,SpaceX,USA,Private,Sounding Rocket,Mars,Sample Return,2003-04-16,N/A,Ongoing,Starship,Boca Chica (Starbase),Ongoing,Past,Uncrewed,N/A,Mars,High-resolution Earth surface mapping,Discovered new geological features,10609.7,NASA,No,N/A,Extended mission beyond original timeline,https://www.spacex.com/missions/crew-10
SP-00871,Crew-11,SpaceX,USA,Private,Technology Demo,SmallSat,Science,1983-11-19,1990-05-03,6.5 years,Falcon 9,Cape Canaveral,Failed,Past,Uncrewed,N/A,SmallSat,Solar wind and coronal mass ejection monitoring,Guidance system malfunction,10248.2,NASA,Yes,Guidance system malfunction,Broke distance record for agency,https://www.spacex.com/missions/crew-11
SP-00872,Starlink V1.0 L1,SpaceX,USA,Private,Telescope,Moon,Rover,1964-06-26,1964-08-10,45 days,Falcon Heavy,Cape Canaveral,Success,Past,Uncrewed,N/A,Moon,Mars atmospheric study and habitability assessment,Completed all primary mission objectives,4640.0,NASA,Partial,N/A,Mission ongoing - data collection in progress,https://www.spacex.com/missions/starlink-v1.0-l1
SP-00873,Starlink V1.0 L5,SpaceX,USA,Private,Telescope,ISS,Crew Transport,1986-10-03,1994-11-18,8.1 years,Falcon 9,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,ISS,Heliosphere boundary exploration,Achieved orbit insertion on first attempt,1222.4,NASA,Partial,N/A,Achieved supersonic retropropulsion,https://www.spacex.com/missions/starlink-v1.0-l5
SP-00874,Starlink V1.0 L10,SpaceX,USA,Private,Sounding Rocket,SmallSat,IoT Connectivity,1990-11-23,1997-02-21,6.3 years,Falcon Heavy,Vandenberg SFB,Failed,Past,Uncrewed,N/A,SmallSat,High-resolution Earth surface mapping,N/A,7714.6,NASA,No,N/A,First crewed landing at destination,https://www.spacex.com/missions/starlink-v1.0-l10
SP-00875,Starlink V1.0 L20,SpaceX,USA,Private,Sounding Rocket,Deep Space,Probe,1962-10-03,N/A,Ongoing,Falcon 9,Boca Chica (Starbase),Ongoing,Past,Uncrewed,N/A,Deep Space,Heliosphere boundary exploration,Partial success - secondary objectives met,12637.0,None,No,N/A,Successfully deployed all planned instruments,https://www.spacex.com/missions/starlink-v1.0-l20
SP-00876,Starlink V1.5 L1,SpaceX,USA,Private,Telescope,Deep Space,Interstellar,1992-06-06,1998-04-07,5.8 years,Falcon Heavy,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Deep Space,Next-generation communication satellite deployment,First crewed landing at destination,8111.5,NASA,No,N/A,Deployed constellation of satellites,https://www.spacex.com/missions/starlink-v1.5-l1
SP-00877,Starlink V1.5 L10,SpaceX,USA,Private,Satellite,Asteroid,Rendezvous,1996-11-22,N/A,Ongoing,Falcon 9,Cape Canaveral,Ongoing,Past,Crewed,"PS2, MS2, Commander, MS1, MS3, Pilot",Asteroid,Asteroid composition and deflection study,Confirmed presence of subsurface water,12077.3,None,Partial,N/A,Mission ongoing - data collection in progress,https://www.spacex.com/missions/starlink-v1.5-l10
SP-00878,Starlink V1.5 L20,SpaceX,USA,Private,Sounding Rocket,Crewed Spaceflight,Space Station,2011-06-26,N/A,Ongoing,Falcon 1,Vandenberg SFB,Ongoing,Past,Crewed,"Commander, PS2",Crewed Spaceflight,Mars atmospheric study and habitability assessment,Historic first for agency and country,7326.7,None,No,N/A,Confirmed presence of subsurface water,https://www.spacex.com/missions/starlink-v1.5-l20
SP-00879,Starlink V2 Mini L1,SpaceX,USA,Private,Sounding Rocket,Earth Observation,Weather Satellite,2009-10-17,2018-10-28,9.0 years,Starship,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Earth Observation,Mars atmospheric study and habitability assessment,Historic first for agency and country,2953.2,NASA,Yes,N/A,Planned - objectives to be confirmed post-launch,https://www.spacex.com/missions/starlink-v2-mini-l1
SP-00880,Starlink V2 Mini L5,SpaceX,USA,Private,Commercial,Sounding Rocket,Ionosphere Study,1994-02-14,2006-06-29,12.4 years,Falcon 1,Cape Canaveral,Success,Past,Uncrewed,N/A,Sounding Rocket,Microgravity biology experiment in LEO,Communication lost after initial deployment,1625.8,NASA,Yes,N/A,Landed successfully within target zone,https://www.spacex.com/missions/starlink-v2-mini-l5
SP-00881,Starlink V2 Mini L10,SpaceX,USA,Private,Human Spaceflight,Saturn,Flyby,1993-11-07,1994-10-05,332 days,Falcon Heavy,Vandenberg SFB,Failed,Past,Uncrewed,N/A,Saturn,Earth climate monitoring and greenhouse gas measurement,N/A,5423.9,None,No,N/A,Communication lost after initial deployment,https://www.spacex.com/missions/starlink-v2-mini-l10
SP-00882,Starlink V2 Mini L20,SpaceX,USA,Private,Technology Demo,Mars,Rover,2021-09-10,2023-11-04,2.2 years,Falcon 1,Cape Canaveral,Success,Past,Uncrewed,N/A,Mars,Gamma-ray burst detection and cataloguing,Mission ongoing - data collection in progress,11924.6,None,Yes,N/A,Demonstrated reusable rocket landing,https://www.spacex.com/missions/starlink-v2-mini-l20
SP-00883,Starlink Group 6-1,SpaceX,USA,Private,Technology Demo,Asteroid,Deflector,2011-08-21,2023-02-07,11.5 years,Falcon 9,Vandenberg SFB,Partial Success,Past,Uncrewed,N/A,Asteroid,Asteroid composition and deflection study,Detected organic molecules at surface,9372.2,None,Partial,Partial instrument failure,First images returned from target destination,https://www.spacex.com/missions/starlink-group-6-1
SP-00884,Starlink Group 6-5,SpaceX,USA,Private,Commercial,Sounding Rocket,Ionosphere Study,1971-07-24,1971-11-08,107 days,Falcon 9,Vandenberg SFB,Success,Past,Uncrewed,N/A,Sounding Rocket,Earth observation for disaster management,Mission ongoing - data collection in progress,9742.9,None,No,N/A,Achieved orbit insertion on first attempt,https://www.spacex.com/missions/starlink-group-6-5
SP-00885,Starlink Group 6-10,SpaceX,USA,Private,Robotic,SmallSat,IoT Connectivity,2013-06-15,2019-06-04,6.0 years,Starship,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,SmallSat,Next-generation communication satellite deployment,Completed all primary mission objectives,10622.3,None,Partial,N/A,Exceeded planned science return by 3x,https://www.spacex.com/missions/starlink-group-6-10
SP-00886,Starlink Group 7-1,SpaceX,USA,Private,Technology Demo,CubeSat,12U CubeSat,2022-05-31,2022-12-21,204 days,Falcon 1,Vandenberg SFB,Success,Past,Uncrewed,N/A,CubeSat,Mars atmospheric study and habitability assessment,Partial success - secondary objectives met,8111.8,NASA,No,N/A,First crewed landing at destination,https://www.spacex.com/missions/starlink-group-7-1
SP-00887,Starlink Group 7-5,SpaceX,USA,Private,Robotic,Earth Observation,Agriculture,2020-08-15,2020-09-22,38 days,Falcon 1,Vandenberg SFB,Success,Past,Uncrewed,N/A,Earth Observation,Space debris monitoring and removal,Planned - objectives to be confirmed post-launch,8595.1,NASA,No,N/A,Landed successfully within target zone,https://www.spacex.com/missions/starlink-group-7-5
SP-00888,Starlink Group 7-10,SpaceX,USA,Private,Telescope,Earth Observation,Climate Study,2002-10-12,N/A,Ongoing,Starship,Cape Canaveral,Ongoing,Past,Crewed,"PS1, MS1, MS2, Pilot, Commander, PS2",Earth Observation,Mars sample return mission support,Demonstrated reusable rocket landing,350.1,NASA,No,N/A,First images returned from target destination,https://www.spacex.com/missions/starlink-group-7-10
SP-00889,Transporter-1,SpaceX,USA,Private,Commercial,CubeSat,6U CubeSat,1996-08-05,2001-12-02,5.3 years,Falcon Heavy,Vandenberg SFB,Partial Success,Past,Crewed,"MS1, Pilot, Commander, PS2, MS3",CubeSat,Lunar surface exploration and soil sample collection,First crewed landing at destination,6790.6,NASA,No,Partial instrument failure,Collected and returned surface samples,https://www.spacex.com/missions/transporter-1
SP-00890,Transporter-2,SpaceX,USA,Private,Sounding Rocket,SmallSat,IoT Connectivity,1993-04-04,1995-04-06,2.0 years,Falcon 1,Cape Canaveral,Success,Past,Uncrewed,N/A,SmallSat,Reusable launch vehicle technology demonstration,Collected and returned surface samples,6066.7,NASA,Partial,N/A,Collected and returned surface samples,https://www.spacex.com/missions/transporter-2
SP-00891,Transporter-3,SpaceX,USA,Private,Technology Demo,Moon,Impactor,1967-06-22,1975-10-09,8.3 years,Falcon Heavy,Cape Canaveral,Failed,Past,Uncrewed,N/A,Moon,Reusable launch vehicle technology demonstration,N/A,10163.0,None,No,N/A,Successfully tested new propulsion system,https://www.spacex.com/missions/transporter-3
SP-00892,Transporter-4,SpaceX,USA,Private,Technology Demo,Earth Orbit,GEO,1987-08-23,1992-03-03,4.5 years,Falcon Heavy,Vandenberg SFB,Success,Past,Uncrewed,N/A,Earth Orbit,Microgravity biology experiment in LEO,Confirmed presence of subsurface water,3309.6,NASA,Yes,N/A,First crewed landing at destination,https://www.spacex.com/missions/transporter-4
SP-00893,Transporter-5,SpaceX,USA,Private,Sounding Rocket,Mercury,Orbiter,1966-10-06,N/A,Ongoing,Falcon 1,Vandenberg SFB,Ongoing,Past,Uncrewed,N/A,Mercury,Commercial crew certification flight,Discovered new geological features,3056.7,None,Partial,N/A,Deployed constellation of satellites,https://www.spacex.com/missions/transporter-5
